activity_id,activity_date,customer_id,customer_name,customer_type,customer_segment,industry,region,acquisition_channel,activity_type,pipeline_stage,opportunity_status,sales_rep,is_won,is_churned,deal_value,contract_value,activity_count,days_to_close,customer_health_score,nps_score
ACT-001,2025-01-05,C-001,台積電,企業,VIP,半導體,北部,推薦,會議,成交,贏單,王小明,Y,N,5000000,4800000,1,45,90,70
ACT-002,2025-01-08,C-002,聯發科,企業,VIP,半導體,北部,官網,提案,協商,進行中,王小明,N,N,3200000,0,1,0,75,50
ACT-003,2025-01-12,C-003,統一超商,企業,標準,零售,北部,廣告,電話,接觸,進行中,李美玲,N,N,800000,0,1,0,60,30
ACT-004,2025-01-15,C-004,全家便利,企業,標準,零售,中部,廣告,Email,提案,進行中,李美玲,N,N,650000,0,1,0,55,20
ACT-005,2025-01-20,C-005,中鋼公司,企業,VIP,製造,中部,推薦,拜訪,成交,贏單,陳建華,Y,N,2100000,1950000,1,60,85,65
ACT-006,2025-01-22,C-006,台灣大哥大,企業,VIP,電信,北部,合作夥伴,會議,協商,進行中,陳建華,N,N,4500000,0,1,0,80,45
ACT-007,2025-01-25,C-007,南山人壽,企業,標準,金融,南部,冷開發,Email,潛在,進行中,林志偉,N,N,1200000,0,1,0,40,10
ACT-008,2025-02-03,C-008,義美食品,企業,標準,食品,南部,官網,電話,接觸,進行中,林志偉,N,N,450000,0,1,0,50,25
ACT-009,2025-02-07,C-001,台積電,企業,VIP,半導體,北部,推薦,會議,成交,贏單,王小明,Y,N,3800000,3600000,1,30,92,80
ACT-010,2025-02-10,C-009,奇美電子,企業,VIP,電子,南部,推薦,提案,協商,進行中,陳建華,N,N,2800000,0,1,0,70,40
ACT-011,2025-02-14,C-010,王品集團,企業,標準,餐飲,北部,廣告,展示,提案,進行中,李美玲,N,N,380000,0,1,0,65,35
ACT-012,2025-02-18,C-011,鴻海精密,企業,VIP,製造,北部,推薦,會議,成交,贏單,王小明,Y,N,6200000,5900000,1,55,88,75
ACT-013,2025-02-20,C-012,遠東百貨,企業,標準,零售,北部,冷開發,電話,潛在,輸單,林志偉,N,N,900000,0,1,0,30,-10
ACT-014,2025-02-25,C-003,統一超商,企業,標準,零售,北部,廣告,提案,提案,進行中,李美玲,N,N,820000,0,1,0,62,30
ACT-015,2025-03-01,C-013,台灣中油,企業,VIP,能源,北部,合作夥伴,會議,協商,進行中,陳建華,N,N,5500000,0,1,0,78,55
ACT-016,2025-03-05,C-014,大潤發,企業,標準,零售,中部,廣告,Email,接觸,進行中,李美玲,N,N,480000,0,1,0,45,15
ACT-017,2025-03-08,C-015,長榮航空,企業,VIP,航空,北部,推薦,拜訪,成交,贏單,陳建華,Y,N,7200000,6800000,1,90,95,85
ACT-018,2025-03-12,C-007,南山人壽,企業,標準,金融,南部,冷開發,電話,接觸,進行中,林志偉,N,N,1250000,0,1,0,42,10
ACT-019,2025-03-15,C-016,光陽工業,企業,標準,製造,中部,官網,展示,提案,進行中,林志偉,N,N,680000,0,1,0,55,20
ACT-020,2025-03-20,C-005,中鋼公司,企業,VIP,製造,中部,推薦,會議,成交,贏單,陳建華,Y,N,2400000,2200000,1,45,87,70
ACT-021,2025-03-25,C-002,聯發科,企業,VIP,半導體,北部,官網,提案,成交,贏單,王小明,Y,N,3200000,3000000,1,75,77,55
ACT-022,2025-04-02,C-017,個人戶-張三,個人,潛力,科技,北部,廣告,電話,潛在,進行中,林志偉,N,N,120000,0,1,0,35,5
ACT-023,2025-04-05,C-018,義大利商,企業,標準,製造,北部,合作夥伴,會議,協商,進行中,王小明,N,N,1800000,0,1,0,60,30
ACT-024,2025-04-10,C-006,台灣大哥大,企業,VIP,電信,北部,合作夥伴,提案,成交,贏單,陳建華,Y,N,4500000,4200000,1,85,83,60
ACT-025,2025-04-15,C-019,中華電信,企業,VIP,電信,北部,推薦,會議,協商,進行中,王小明,N,N,8000000,0,1,0,82,65
ACT-026,2025-04-18,C-020,遠傳電信,企業,VIP,電信,北部,推薦,拜訪,接觸,進行中,陳建華,N,N,3500000,0,1,0,70,45
ACT-027,2025-04-22,C-004,全家便利,企業,標準,零售,中部,廣告,Email,提案,輸單,李美玲,N,N,650000,0,1,0,40,-5
ACT-028,2025-04-25,C-021,博客來,企業,標準,電商,北部,官網,展示,提案,進行中,林志偉,N,N,560000,0,1,0,58,25
ACT-029,2025-05-03,C-001,台積電,企業,VIP,半導體,北部,推薦,會議,成交,贏單,王小明,Y,N,6500000,6200000,1,40,93,85
ACT-030,2025-05-08,C-022,永豐銀行,企業,VIP,金融,北部,合作夥伴,會議,協商,進行中,陳建華,N,N,4200000,0,1,0,75,50
ACT-031,2025-05-12,C-023,個人戶-李四,個人,潛力,服務業,中部,廣告,電話,潛在,流失,林志偉,N,Y,80000,0,1,0,20,-20
ACT-032,2025-05-15,C-011,鴻海精密,企業,VIP,製造,北部,推薦,提案,成交,贏單,王小明,Y,N,7800000,7400000,1,60,90,80
ACT-033,2025-05-20,C-013,台灣中油,企業,VIP,能源,北部,合作夥伴,會議,成交,贏單,陳建華,Y,N,5500000,5200000,1,80,80,60
ACT-034,2025-05-25,C-024,台鹽,企業,標準,製造,南部,冷開發,Email,接觸,進行中,林志偉,N,N,350000,0,1,0,45,15
ACT-035,2025-06-02,C-025,太平洋建設,企業,標準,建設,北部,官網,電話,潛在,進行中,李美玲,N,N,1500000,0,1,0,50,20
ACT-036,2025-06-05,C-026,個人戶-王五,個人,潛力,科技,南部,廣告,Email,潛在,進行中,林志偉,N,N,95000,0,1,0,38,8
ACT-037,2025-06-10,C-019,中華電信,企業,VIP,電信,北部,推薦,提案,協商,進行中,王小明,N,N,8200000,0,1,0,84,70
ACT-038,2025-06-15,C-027,統一企業,企業,VIP,食品,南部,推薦,會議,成交,贏單,陳建華,Y,N,3100000,2900000,1,50,86,75
ACT-039,2025-06-20,C-008,義美食品,企業,標準,食品,南部,官網,展示,提案,進行中,林志偉,N,N,480000,0,1,0,52,22
ACT-040,2025-06-25,C-028,聚陽實業,企業,標準,製造,中部,廣告,拜訪,接觸,進行中,李美玲,N,N,720000,0,1,0,55,28
